Date,Open,High,Low,Close,Adj Close,Volume
1993-01-04,3301.10,3319.21,3298.68,3309.20,3309.20,21400000
1993-01-05,3309.20,3320.83,3300.57,3307.90,3307.90,28060000
1993-01-06,3307.90,3312.19,3290.58,3305.20,3305.20,35790000
1993-01-07,3305.20,3313.27,3260.86,3269.00,3269.00,36820000
1993-01-08,3269.00,3269.00,3231.95,3251.70,3251.70,30690000
1993-01-11,3251.70,3262.75,3250.05,3262.75,3262.75,24500000
1993-01-12,3262.80,3268.69,3240.06,3264.60,3264.60,29660000
1993-01-13,3264.60,3269.50,3243.84,3263.60,3263.60,28950000
1993-01-14,3263.60,3279.23,3251.13,3267.90,3267.90,36150000
1993-01-15,3267.90,3285.17,3258.16,3271.10,3271.10,39270000
1993-01-18,3271.10,3275.72,3263.02,3274.90,3274.90,23030000
1993-01-19,3274.90,3283.28,3254.37,3256.00,3256.00,35680000
1993-01-20,3256.00,3264.10,3240.60,3242.00,3242.00,26680000
1993-01-21,3242.00,3257.62,3231.95,3253.00,3253.00,27040000
1993-01-22,3253.00,3267.34,3250.05,3256.80,3256.80,30760000
1993-01-25,3257.90,3294.90,3257.89,3292.20,3292.20,35840000
1993-01-26,3292.20,3320.02,3291.66,3299.00,3299.00,47430000
1993-01-27,3299.00,3301.65,3274.91,3291.40,3291.40,32270000
1993-01-28,3291.40,3308.41,3289.77,3306.30,3306.30,27930000
1993-01-29,3306.30,3315.16,3298.95,3310.00,3310.00,22060000
1993-02-01,3310.00,3332.45,3309.49,3332.20,3332.20,27910000
1993-02-02,3332.20,3334.88,3318.67,3328.70,3328.70,27290000
1993-02-03,3328.90,3379.46,3328.90,3373.80,3373.80,35290000
1993-02-04,3374.10,3423.77,3374.06,3416.70,3416.70,36250000
1993-02-05,3416.70,3443.22,3411.34,3442.10,3442.10,38720000
1993-02-08,3442.10,3456.73,3429.44,3437.50,3437.50,29460000
1993-02-09,3437.50,3437.54,3407.83,3414.60,3414.60,23530000
1993-02-10,3414.60,3424.58,3394.32,3412.40,3412.40,26770000
1993-02-11,3412.40,3442.68,3411.88,3422.70,3422.70,29250000
1993-02-12,3422.70,3425.66,3392.43,3392.43,3392.43,22870000
1993-02-16,3392.20,3392.20,3304.62,3309.50,3309.50,38580000
1993-02-17,3309.50,3317.59,3290.31,3312.20,3312.20,31700000
1993-02-18,3312.20,3348.66,3266.80,3302.20,3302.20,33650000
1993-02-19,3302.20,3322.18,3287.87,3322.18,3322.18,30520000
1993-02-22,3322.20,3345.96,3317.05,3342.99,3342.99,34140000
1993-02-23,3343.00,3353.52,3316.78,3323.27,3323.27,34930000
1993-02-24,3323.30,3356.77,3322.18,3356.50,3356.50,29410000
1993-02-25,3356.50,3365.14,3343.26,3365.14,3365.14,25250000
1993-02-26,3365.10,3378.11,3351.36,3370.81,3370.81,21990000
1993-03-01,3370.80,3383.78,3350.01,3355.41,3355.41,21770000
1993-03-02,3355.40,3400.80,3343.26,3400.53,3400.53,25310000
1993-03-03,3400.50,3413.77,3391.62,3404.04,3404.04,25160000
1993-03-04,3404.00,3409.45,3388.91,3398.91,3398.91,21250000
1993-03-05,3398.90,3433.22,3391.89,3404.58,3404.58,28020000
1993-03-08,3404.60,3471.04,3391.89,3469.42,3469.42,32460000
1993-03-09,3469.40,3482.12,3462.40,3472.12,3472.12,28120000
1993-03-10,3472.10,3478.34,3449.43,3478.34,3478.34,28730000
1993-03-11,3478.30,3479.69,3450.51,3457.00,3457.00,24220000
1993-03-12,3456.70,3456.73,3403.77,3427.82,3427.82,25650000
1993-03-15,3427.80,3442.41,3426.47,3442.41,3442.41,16910000
1993-03-16,3442.40,3449.43,3438.08,3442.95,3442.95,16730000
1993-03-17,3443.00,3444.84,3422.96,3426.74,3426.74,19970000
1993-03-18,3426.70,3477.53,3426.70,3465.64,3465.64,24480000
1993-03-19,3465.60,3477.26,3459.16,3471.58,3471.58,35360000
1993-03-22,3470.80,3470.80,3444.03,3463.48,3463.48,25670000
1993-03-23,3463.50,3469.69,3453.48,3461.86,3461.86,21810000
1993-03-24,3450.50,3450.50,3430.25,3445.38,3445.38,36020000
1993-03-25,3445.40,3472.67,3445.38,3461.32,3461.32,32190000
1993-03-26,3461.30,3471.31,3439.44,3439.98,3439.98,25300000
1993-03-29,3440.30,3478.34,3440.25,3455.10,3455.10,21850000
1993-03-30,3455.10,3458.62,3434.84,3457.27,3457.27,23450000
1993-03-31,3457.30,3470.77,3435.11,3435.11,3435.11,25670000
1993-04-01,3435.10,3452.67,3432.14,3439.44,3439.44,20660000
1993-04-02,3439.40,3439.44,3365.41,3370.81,3370.81,53740000
1993-04-05,3370.80,3381.35,3364.87,3379.19,3379.19,35090000
1993-04-06,3379.20,3391.62,3363.79,3377.57,3377.57,34650000
1993-04-07,3377.60,3397.83,3372.98,3397.02,3397.02,33620000
1993-04-08,3397.00,3408.10,3378.65,3396.48,3396.48,35880000
1993-04-12,3396.50,3434.84,3395.67,3428.09,3428.09,24990000
1993-04-13,3428.40,3450.78,3428.36,3444.03,3444.03,30070000
1993-04-14,3444.00,3461.86,3441.60,3455.64,3455.64,24620000
1993-04-15,3455.60,3466.18,3437.54,3455.92,3455.92,27510000
1993-04-16,3456.50,3478.61,3456.46,3478.61,3478.61,31770000
1993-04-19,3478.60,3481.58,3457.81,3466.99,3466.99,25050000
1993-04-20,3467.00,3468.61,3420.25,3443.49,3443.49,32410000
1993-04-21,3443.50,3453.48,3426.74,3439.44,3439.44,27720000
1993-04-22,3439.40,3471.04,3423.77,3429.17,3429.17,34030000
1993-04-23,3428.60,3428.63,3403.50,3413.77,3413.77,27600000
1993-04-26,3413.80,3425.66,3387.02,3398.37,3398.37,27070000
1993-04-27,3398.40,3416.74,3383.24,3415.93,3415.93,29780000
1993-04-28,3415.90,3424.58,3395.40,3413.50,3413.50,39030000
1993-04-29,3413.50,3427.01,3392.43,3425.12,3425.12,27410000
1993-04-30,3425.10,3446.19,3422.41,3427.55,3427.55,23290000
1993-05-03,3439.40,3459.43,3439.40,3446.46,3446.46,22190000
1993-05-04,3446.50,3459.43,3439.44,3446.19,3446.19,22790000
1993-05-05,3446.20,3457.40,3439.41,3449.10,3449.10,25640000
1993-05-06,3449.10,3454.35,3439.13,3441.90,3441.90,24460000
1993-05-07,3441.90,3447.99,3427.23,3437.19,3437.19,25390000
1993-05-10,3437.20,3467.92,3435.26,3443.28,3443.28,26170000
1993-05-11,3443.30,3468.75,3435.26,3468.75,3468.75,21360000
1993-05-12,3468.80,3483.14,3458.23,3482.31,3482.31,26630000
